member_id,interest_rate_clean,emp_length,verification_status,issue_date,loan_status,purpose,total_pymnt,recoveries
15539633,13.65,1 year,Not Verified,01/04/2014,Current,home_improvement,3999.45,0
49674356,13.33,10+ years,Source Verified,01/04/2015,Current,small_business,2160.72,0
13609314,17.57,10+ years,Verified,01/02/2014,Charged Off,debt_consolidation,16461.81,3883.81
73313709,11.99,10+ years,Source Verified,01/12/2015,Issued,debt_consolidation,0,0
55367051,6.24,10+ years,Not Verified,01/06/2015,Current,credit_card,2773.86,0
45372113,6.39,7 years,Not Verified,01/03/2015,Current,home_improvement,2139.52,0
20116699,11.67,10+ years,Source Verified,01/06/2014,Current,debt_consolidation,10049.48,0
54827890,18.55,9 years,Source Verified,01/06/2015,Current,credit_card,1788.27,0
67851293,12.69,9 years,Source Verified,01/10/2015,Fully Paid,debt_consolidation,8033.84,0
49920829,13.33,8 years,Not Verified,01/04/2015,Current,debt_consolidation,3308.61,0
24524373,9.17,,Verified,01/07/2014,Current,credit_card,6503.35,0
37766636,8.19,< 1 year,Not Verified,01/11/2014,Current,debt_consolidation,4488.71,0
10946808,11.99,10+ years,Verified,01/12/2013,Current,credit_card,21585.93,0
8908292,9.99,< 1 year,Not Verified,01/09/2013,Fully Paid,debt_consolidation,8832.29,0
42573012,14.99,9 years,Not Verified,01/01/2015,Current,debt_consolidation,1779.53,0
66342861,12.69,9 years,Source Verified,01/10/2015,Current,home_improvement,533.82,0
10348407,13.67,< 1 year,Verified,01/11/2013,Fully Paid,credit_card,17984.79568,0
61475544,17.86,5 years,Verified,01/08/2015,Current,debt_consolidation,1712.9,0
60999551,9.99,8 years,Source Verified,01/08/2015,Current,debt_consolidation,1125.32,0
69574183,7.89,10+ years,Verified,01/11/2015,Current,debt_consolidation,1233.91,0
4061353,15.31,10+ years,Not Verified,01/02/2013,Fully Paid,debt_consolidation,12393.17,0
63990142,15.61,2 years,Source Verified,01/09/2015,Current,debt_consolidation,1381.26,0
24555397,12.99,1 year,Verified,01/09/2014,Current,credit_card,12738.88,0
51975520,15.61,7 years,Source Verified,01/05/2015,Current,debt_consolidation,2861.84,0
28802236,10.15,3 years,Not Verified,01/09/2014,Current,debt_consolidation,5691.52,0
7021156,23.28,9 years,Verified,01/06/2013,Fully Paid,debt_consolidation,45055.16047,0
8083464,10.64,6 years,Source Verified,01/08/2013,Current,debt_consolidation,10389.54,0
65482083,20.99,10+ years,Verified,01/10/2015,Current,debt_consolidation,1253.11,0
9637883,15.61,2 years,Source Verified,01/10/2013,Late (31-120 days),debt_consolidation,9427.7,0
1969020,11.14,7 years,Verified,01/11/2012,Fully Paid,small_business,14614.5492,0
7198523,8.9,5 years,Verified,01/06/2013,Fully Paid,debt_consolidation,32747.34633,0
1346297,17.27,4 years,Not Verified,01/06/2012,Charged Off,credit_card,3375.88,501.28
54015638,9.17,10+ years,Not Verified,01/06/2015,Current,debt_consolidation,1066.25,0
48279944,8.18,3 years,Source Verified,01/04/2015,Late (31-120 days),debt_consolidation,3759.44,0
49949935,11.53,< 1 year,Not Verified,01/05/2015,Current,credit_card,3283.03,0
519480,7.74,< 1 year,Not Verified,01/08/2009,Fully Paid,medical,8990.82,0
31216962,23.43,10+ years,Verified,01/10/2014,Current,debt_consolidation,3212.1,0
41201717,7.49,8 years,Not Verified,01/01/2015,Current,debt_consolidation,3351.55,0
18344460,8.39,10+ years,Verified,01/07/2014,Fully Paid,credit_card,37581.98,0
41861893,11.99,2 years,Verified,01/01/2015,Late (31-120 days),debt_consolidation,1073.64,0
51390283,19.52,10+ years,Verified,01/05/2015,Current,major_purchase,3339.85,0
36014741,11.44,1 year,Source Verified,01/11/2014,Fully Paid,debt_consolidation,7909.58,0
49790381,17.86,3 years,Verified,01/04/2015,Current,debt_consolidation,2565.76,0
71085284,5.32,3 years,Source Verified,01/12/2015,Current,major_purchase,223.65,0
71168806,8.38,10+ years,Not Verified,01/12/2015,Current,debt_consolidation,236.94,0
11679283,9.67,< 1 year,Not Verified,01/12/2013,Current,credit_card,7705.72,0
56650980,24.99,10+ years,Source Verified,01/07/2015,Current,credit_card,4367.13,0
7642155,18.85,10+ years,Verified,01/07/2013,Charged Off,debt_consolidation,2858.33,358.32
41312982,6.03,1 year,Source Verified,01/01/2015,Current,credit_card,7297.94,0
45382214,17.86,10+ years,Source Verified,01/03/2015,Current,debt_consolidation,3014.29,0
772520,6.17,3 years,Not Verified,01/10/2010,Fully Paid,debt_consolidation,10858.94,0
1018156,16.49,< 1 year,Verified,01/07/2011,Fully Paid,other,8322.9,0
55165848,7.89,10+ years,Verified,01/06/2015,Current,credit_card,7431.14,0
30015459,12.49,< 1 year,Not Verified,01/09/2014,Fully Paid,debt_consolidation,2219.97,0
1763570,20.49,5 years,Verified,01/09/2012,Fully Paid,debt_consolidation,6477.33,0
46282393,17.86,3 years,Source Verified,01/04/2015,Current,debt_consolidation,7940.26,0
31176931,10.99,10+ years,Verified,01/10/2014,Current,debt_consolidation,8151.6,0
6738159,12.12,< 1 year,Source Verified,01/05/2013,Charged Off,debt_consolidation,6274.09,3701.44
71182387,5.32,10+ years,Not Verified,01/12/2015,Current,debt_consolidation,763.95,0
64892130,12.69,2 years,Verified,01/09/2015,Current,debt_consolidation,396.9,0
43818564,10.99,8 years,Source Verified,01/02/2015,Current,credit_card,5462.51,0
43297924,11.53,6 years,Source Verified,01/02/2015,Current,credit_card,7627.52,0
1461982,10.74,10+ years,Source Verified,01/04/2012,Current,home_improvement,29176.89,0
65598556,12.69,1 year,Source Verified,01/10/2015,Current,other,1199.16,0
54557355,10.99,8 years,Not Verified,01/06/2015,Current,car,1139.58,0
53987368,11.53,2 years,Source Verified,01/07/2015,Late (16-30 days),home_improvement,1305.13,0
1894619,21,10+ years,Source Verified,01/10/2012,Current,other,23427.01,0
46616104,8.18,10+ years,Source Verified,01/03/2015,Current,debt_consolidation,4228.07,0
10786753,8.9,3 years,Not Verified,01/11/2013,Fully Paid,debt_consolidation,6170.888712,0
51843783,18.84,10+ years,Not Verified,01/05/2015,Fully Paid,home_improvement,11954.21,0
996809,10.59,10+ years,Not Verified,01/06/2011,Fully Paid,credit_card,5855.527482,0
35804664,14.99,3 years,Source Verified,01/10/2014,In Grace Period,debt_consolidation,6150.79,0
3547219,19.72,10+ years,Verified,01/01/2013,Charged Off,wedding,1544.43,322.66
46856662,15.61,10+ years,Source Verified,01/03/2015,Current,debt_consolidation,3242.02,0
5317861,15.31,4 years,Verified,01/04/2013,Charged Off,debt_consolidation,5824.24,2337.28
37957769,14.99,2 years,Not Verified,01/11/2014,Current,debt_consolidation,3591.45,0
1298879,16.29,5 years,Not Verified,01/12/2011,Charged Off,credit_card,4533.54,298.32
24715537,13.35,1 year,Source Verified,01/07/2014,Fully Paid,credit_card,2173.74,0
32798286,11.67,4 years,Not Verified,01/10/2014,Current,debt_consolidation,4744.69,0
40811381,11.99,4 years,Not Verified,01/01/2015,Current,debt_consolidation,1330.66,0
66094873,9.99,10+ years,Not Verified,01/10/2015,Current,debt_consolidation,1579.3,0
69726552,8.18,10+ years,Source Verified,01/11/2015,Current,debt_consolidation,464.48,0
965508,17.99,2 years,Not Verified,01/05/2011,Fully Paid,debt_consolidation,22978.62,0
7213201,6.62,3 years,Not Verified,01/06/2013,Current,debt_consolidation,16170.67,0
42712833,11.44,6 years,Source Verified,01/01/2015,Current,debt_consolidation,23615.31,0
58836535,19.19,7 years,Verified,01/08/2015,Current,debt_consolidation,3842.83,0
23713780,10.15,< 1 year,Source Verified,01/07/2014,Charged Off,debt_consolidation,3233.8,0
41294002,10.49,7 years,Verified,01/01/2015,Current,credit_card,7009.03,0
14980105,7.9,10+ years,Source Verified,01/03/2014,Current,credit_card,7885.29,0
34801604,10.15,10+ years,Source Verified,01/10/2014,Fully Paid,debt_consolidation,21331.19,0
11941631,15.61,1 year,Verified,01/01/2014,Charged Off,debt_consolidation,1036.77,0
58961986,13.99,< 1 year,Not Verified,01/07/2015,Current,moving,854.65,0
5012206,18.75,4 years,Source Verified,01/03/2013,Charged Off,small_business,4428.72,1144.62
60918215,15.61,10+ years,Source Verified,01/07/2015,Current,credit_card,1425.89,0
72808650,9.17,1 year,Not Verified,01/12/2015,Issued,debt_consolidation,0,0
7441860,14.33,6 years,Verified,01/07/2013,Current,debt_consolidation,24879.62,0
27609624,16.29,10+ years,Not Verified,01/08/2014,Current,debt_consolidation,4698.72,0
8947882,15.61,< 1 year,Verified,01/09/2013,Current,debt_consolidation,6932.36,0
72590629,8.38,10+ years,Not Verified,01/12/2015,Current,major_purchase,0,0
7607901,12.35,7 years,Source Verified,01/07/2013,Fully Paid,debt_consolidation,10211.83712,0
70089033,9.76,3 years,Source Verified,01/12/2015,Current,debt_consolidation,0,0
408931,13.79,< 1 year,Verified,01/02/2009,Charged Off,credit_card,12349.26,0
69644631,13.67,10+ years,Source Verified,01/11/2015,Current,debt_consolidation,663.71,0
42404389,14.99,5 years,Not Verified,01/01/2015,Fully Paid,debt_consolidation,15512.75,0
36986622,25.57,7 years,Verified,01/11/2014,Late (31-120 days),debt_consolidation,6118.75,0
6498169,19.05,2 years,Source Verified,01/05/2013,Current,home_improvement,4547.1,0
61057918,6.24,10+ years,Source Verified,01/08/2015,Current,credit_card,1823.53,0
56842496,7.89,10+ years,Verified,01/07/2015,Current,debt_consolidation,4649.06,0
59561325,10.99,,Not Verified,01/08/2015,Current,debt_consolidation,4076.49,0
66352285,12.29,10+ years,Not Verified,01/10/2015,Current,debt_consolidation,1184.57,0
72107113,9.17,8 years,Not Verified,01/12/2015,Current,home_improvement,188.22,0
21289053,24.5,1 year,Verified,01/06/2014,Current,debt_consolidation,19324.33,0
67545877,5.32,,Not Verified,01/10/2015,Current,home_improvement,180.1,0
1544000,7.62,6 years,Not Verified,01/06/2012,Fully Paid,other,1098.390412,0
59689956,13.99,,Not Verified,01/07/2015,Current,credit_card,2443.66,0
19937655,14.99,1 year,Source Verified,01/06/2014,Fully Paid,debt_consolidation,23604.27,0
67668118,8.18,,Not Verified,01/10/2015,Current,debt_consolidation,247.72,0
21909658,18.24,2 years,Verified,01/07/2014,Current,debt_consolidation,14747.94,0
9331482,9.99,1 year,Not Verified,01/10/2013,Current,credit_card,6720.28,0
1539135,17.99,5 years,Not Verified,01/05/2012,Charged Off,debt_consolidation,6144.77,12.19
37997999,7.49,10+ years,Source Verified,01/11/2014,Current,debt_consolidation,9570.21,0
55537173,7.26,10+ years,Not Verified,01/06/2015,Current,debt_consolidation,3248.6,0
41506217,17.14,,Verified,01/01/2015,Current,home_improvement,3626.03,0
68117984,16.55,5 years,Not Verified,01/11/2015,Current,home_improvement,248.3,0
57295000,15.61,10+ years,Verified,01/07/2015,Late (31-120 days),debt_consolidation,2779.86,0
1787277,23.28,9 years,Verified,01/09/2012,Fully Paid,credit_card,27603.42985,0
66343404,9.17,7 years,Not Verified,01/10/2015,Current,home_improvement,506,0
58882338,12.69,8 years,Source Verified,01/07/2015,Fully Paid,other,15505.15,0
57425192,12.29,,Verified,01/07/2015,Current,credit_card,993.79,0
1708310,18.75,10+ years,Not Verified,01/08/2012,Charged Off,debt_consolidation,6636.7,509.32
55408346,15.61,2 years,Source Verified,01/06/2015,Current,debt_consolidation,1679.17,0
43456908,6.99,3 years,Not Verified,01/02/2015,Current,credit_card,8480.31,0
21398338,13.98,7 years,Not Verified,01/06/2014,Current,home_improvement,4920.3,0
10311587,19.2,,Verified,01/11/2013,Current,debt_consolidation,9556,0
51231364,6.92,7 years,Not Verified,01/05/2015,Fully Paid,major_purchase,10078.09,0
44796970,11.53,9 years,Source Verified,01/02/2015,Current,credit_card,4375.98,0
14617452,12.49,10+ years,Source Verified,01/03/2014,Current,credit_card,6972.46,0
63018461,5.32,10+ years,Not Verified,01/08/2015,Current,debt_consolidation,1838.43,0
13907393,17.57,2 years,Source Verified,01/03/2014,Current,debt_consolidation,27318.41,0
57648234,9.99,9 years,Source Verified,01/07/2015,Fully Paid,debt_consolidation,14833.72,0
15029494,12.99,10+ years,Source Verified,01/03/2014,Fully Paid,debt_consolidation,18861.11,0
12430731,16.24,10+ years,Verified,01/01/2014,Fully Paid,debt_consolidation,24146.09,0
31947110,13.35,4 years,Not Verified,01/10/2014,Current,home_improvement,4558.2,0
55247815,7.89,10+ years,Verified,01/06/2015,Current,credit_card,3517.28,0
53122091,23.99,2 years,Verified,01/05/2015,Current,car,3769.81,0
14908439,15.31,10+ years,Not Verified,01/03/2014,Current,debt_consolidation,11489.72,0
25426434,16.99,10+ years,Verified,01/07/2014,Fully Paid,debt_consolidation,9319.67,0
64090284,7.26,5 years,Source Verified,01/09/2015,Current,credit_card,1186.41,0
9166826,16.2,1 year,Not Verified,01/10/2013,Current,debt_consolidation,9138.42,0
42133393,21.99,10+ years,Verified,01/01/2015,Current,debt_consolidation,8771.98,0
48117159,12.69,10+ years,Verified,01/04/2015,Current,debt_consolidation,2676.55,0
53562898,9.17,5 years,Source Verified,01/05/2015,Fully Paid,debt_consolidation,8319.6,0
41389682,8.19,,Verified,01/01/2015,Current,debt_consolidation,4514.16,0
67781326,5.32,< 1 year,Not Verified,01/10/2015,Current,debt_consolidation,715.67,0
15429449,17.57,8 years,Verified,01/04/2014,Current,credit_card,8321.88,0
