member_id,loan_amnt,funded_amnt,term,interest_rate,grade,sub_grade,emp_length,home_ownership,annual_income,verification_status,issue_date,loan_status,purpose,addr_state,total_pymnt,last_pymnt_amnt,application_type,recoveries
51975520,11625,11625, 36 months,15.61,D,D1,7 years,MORTGAGE,32340,Source Verified,1/05/2015,Current,debt_consolidation,NC,2861.84,406.47,INDIVIDUAL,0
1768992,27075,27075, 60 months,24.89,G,G3,2 years,MORTGAGE,69000,Verified,1/09/2012,Fully Paid,debt_consolidation,MD,41744.21523,17968.64,INDIVIDUAL,0
30935736,12000,12000, 60 months,15.61,D,D1,1 year,RENT,85000,Not Verified,1/10/2014,Fully Paid,credit_card,AZ,13935.75,10463.67,INDIVIDUAL,0
68670347,24000,24000, 60 months,17.86,D,D5,4 years,MORTGAGE,80000,Not Verified,1/11/2015,Current,debt_consolidation,OH,1179.52,607.62,INDIVIDUAL,0
4380180,29700,29700, 60 months,19.05,D,D4,4 years,MORTGAGE,66540.8,Verified,1/03/2013,Charged Off,debt_consolidation,NM,19110.72,771.26,INDIVIDUAL,9875.07
19445350,34475,34475, 60 months,18.24,D,D5,2 years,RENT,75000,Verified,1/05/2014,Current,credit_card,CA,16719.05,879.95,INDIVIDUAL,0
41279435,10000,10000, 60 months,18.54,E,E1,,MORTGAGE,60000,Verified,1/01/2015,Current,home_improvement,OH,4572.38,256.89,INDIVIDUAL,0
24737269,25975,25975, 60 months,15.61,D,D1,2 years,MORTGAGE,70000,Verified,1/09/2014,Charged Off,debt_consolidation,NM,8117.9,626.3,INDIVIDUAL,4360.1
70730152,25000,25000, 36 months,5.32,A,A1,6 years,MORTGAGE,155000,Verified,1/11/2015,Current,debt_consolidation,CO,1444.35,698.87,INDIVIDUAL,0
43855595,35000,35000, 60 months,13.99,C,C4,10+ years,MORTGAGE,115000,Verified,1/02/2015,Current,debt_consolidation,CO,8929.11,814.21,INDIVIDUAL,0
50166838,13000,13000, 36 months,13.33,C,C3,< 1 year,OWN,60000,Not Verified,1/04/2015,Current,debt_consolidation,LA,3909.88,440.1,INDIVIDUAL,0
62189340,15000,15000, 36 months,18.55,E,E2,2 years,RENT,175000,Verified,1/09/2015,Current,small_business,NY,2230.83,546.44,INDIVIDUAL,0
70609281,12000,12000, 36 months,6.24,A,A2,5 years,MORTGAGE,86000,Not Verified,1/12/2015,Current,debt_consolidation,MA,385.09,389.25,INDIVIDUAL,0
9421347,12000,12000, 36 months,13.67,B,B5,10+ years,MORTGAGE,154000,Verified,1/10/2013,Fully Paid,credit_card,NJ,14167.29,6411.11,INDIVIDUAL,0
39999857,7000,7000, 36 months,8.19,A,A5,3 years,RENT,107000,Source Verified,1/12/2014,Current,debt_consolidation,FL,2853.24,219.97,INDIVIDUAL,0
53302961,10000,10000, 36 months,9.99,B,B3,7 years,MORTGAGE,45000,Not Verified,1/06/2015,Current,credit_card,FL,2252.86,322.63,INDIVIDUAL,0
41822007,10000,10000, 36 months,15.59,D,D1,10+ years,OWN,70000,Verified,1/01/2015,Current,debt_consolidation,IN,4185.94,349.55,INDIVIDUAL,0
37157371,14900,14900, 36 months,17.14,D,D4,2 years,RENT,52000,Source Verified,1/11/2014,Current,debt_consolidation,CA,7430.5,532.27,INDIVIDUAL,0
67380150,28000,28000, 60 months,8.18,B,B1,3 years,MORTGAGE,200000,Source Verified,1/11/2015,Current,debt_consolidation,NJ,1127.6,570.16,INDIVIDUAL,0
68179412,16000,"16,000", 36 months,9.99,B,B3,4 years,OWN,55000,Source Verified,1/11/2015,Current,credit_card,NE,1081.24,516.2,INDIVIDUAL,0
11928504,17000,17000, 60 months,16.24,C,C5,8 years,MORTGAGE,77000,Verified,1/12/2013,Fully Paid,debt_consolidation,TN,20088.23,14685.69,INDIVIDUAL,0
46526404,18000,18000, 60 months,15.61,D,D1,10+ years,MORTGAGE,50000,Source Verified,1/03/2015,Current,debt_consolidation,IN,3890.48,434.01,INDIVIDUAL,0
20097402,35000,35000, 60 months,17.57,D,D4,8 years,RENT,90616,Verified,1/06/2014,Current,credit_card,CA,16731.59,880.61,INDIVIDUAL,0
779411,25000,"$19,200", 60 months,19.66,G,G1,5 years,OWN,85000,Verified,1/11/2010,Charged Off,,NJ,9081.8,505.06,INDIVIDUAL,7068.68
1848227,4000,4000, 36 months,11.14,B,B2,8 years,RENT,16000,Not Verified,1/10/2012,Fully Paid,debt_consolidation,CA,4687.216141,1144.33,INDIVIDUAL,0
1416016,20675,20675, 60 months,12.12,B,B3,8 years,RENT,42000,Verified,1/03/2012,Current,credit_card,FL,21659.31,461.16,INDIVIDUAL,0
3628710,25000,25000, 60 months,15.8,C,C3,6 years,MORTGAGE,65500,Verified,1/01/2013,Current,debt_consolidation,MA,21781.57,605.3,INDIVIDUAL,0
46262513,10000,10000, 36 months,6.92,A,A4,,MORTGAGE,48000,Source Verified,1/03/2015,Current,credit_card,CA,3080.26,308.41,INDIVIDUAL,0
54300012,7000,7000, 36 months,9.17,B,B2,5 years,RENT,35000,Not Verified,1/07/2015,Current,credit_card,FL,1335.39,223.16,INDIVIDUAL,0
66453494,17500,"$17,500", 36 months,10.99,B,B4,10+ years,MORTGAGE,51600,Verified,1/10/2015,Current,debt_consolidation,CA,1151.04,572.85,INDIVIDUAL,0
36284526,24000,24000, 36 months,11.44,B,B4,9 years,RENT,88000,Source Verified,1/11/2014,Current,credit_card,CA,11055.11,790.74,INDIVIDUAL,0
239649,15450,15450, 36 months,13.93,E,E1,5 years,MORTGAGE,42000,Not Verified,1/02/2008,Charged Off,debt_consolidation,OH,13741.25,35.74,INDIVIDUAL,0
43236189,9975,9975, 36 months,13.66,C,C3,5 years,OWN,25000,Source Verified,1/02/2015,Current,debt_consolidation,MI,3724.51,339.28,INDIVIDUAL,0
52528153,18000,18000, 60 months,7.89,A,A5,4 years,OWN,124000,Not Verified,1/05/2015,Current,debt_consolidation,TX,2904.35,364.03,INDIVIDUAL,0
1455344,8000,8000, 36 months,13.67,B,B5,< 1 year,RENT,53000,Source Verified,1/04/2012,Fully Paid,debt_consolidation,NJ,9796.435449,273.39,INDIVIDUAL,0
29482828,5575,5575, 36 months,18.24,D,D5,10+ years,RENT,50000,Source Verified,1/09/2014,Charged Off,debt_consolidation,NY,808.92,202.23,INDIVIDUAL,0
3868927,27200,27200, 36 months,7.9,A,A4,< 1 year,RENT,100000,Source Verified,1/02/2013,Fully Paid,debt_consolidation,IL,30180.04954,11459.33,INDIVIDUAL,0
43248605,15000,15000, 36 months,10.49,B,B3,1 year,RENT,44000,Not Verified,1/02/2015,Current,,OH,5353.43,487.47,INDIVIDUAL,0
63090623,12000,12000, 36 months,12.29,C,C1,,MORTGAGE,68000,Verified,1/09/2015,Current,,OR,1584.57,400.24,INDIVIDUAL,0
12618344,10000,10000, 36 months,11.99,B,B3,1 year,RENT,100000,Source Verified,1/01/2014,Current,debt_consolidation,CA,7638.23,332.1,INDIVIDUAL,0
12747168,12000,12000, 60 months,13.53,B,B5,10+ years,MORTGAGE,110000,Source Verified,1/01/2014,Fully Paid,,CA,12401.12,11848.5,INDIVIDUAL,0
60976988,2500,2500, 36 months,17.57,D,D4,4 years,MORTGAGE,65000,Source Verified,1/08/2015,Current,vacation,IL,446.81,89.85,INDIVIDUAL,0
15471112,17000,17000, 36 months,12.49,B,B4,10+ years,MORTGAGE,100960,Source Verified,1/04/2014,Fully Paid,debt_consolidation,IL,19280.21,11319.25,INDIVIDUAL,0
70058908,22000,22000, 60 months,17.57,D,D4,10+ years,RENT,83000,Verified,1/11/2015,Current,debt_consolidation,MD,532.06,553.53,INDIVIDUAL,0
16661421,20000,20000, 60 months,16.59,D,D1,5 years,RENT,60673,Source Verified,1/04/2014,Current,debt_consolidation,VA,9853.2,492.66,INDIVIDUAL,0
73010263,5000,5000, 36 months,11.99,C,C1,< 1 year,OWN,70000,Not Verified,1/12/2015,Issued,debt_consolidation,PA,0,0,INDIVIDUAL,0
28380430,15000,15000, 60 months,13.35,C,C2,3 years,RENT,59000,Not Verified,1/09/2014,Current,credit_card,NY,5923.84,343.99,INDIVIDUAL,0
49313178,17000,17000, 60 months,12.69,C,C2,3 years,MORTGAGE,45000,Not Verified,1/04/2015,Current,debt_consolidation,NY,3445.01,384.11,INDIVIDUAL,0
31106585,6000,6000, 36 months,7.69,A,A4,5 years,RENT,34500,Source Verified,1/10/2014,Current,major_purchase,OH,2804.99,187.17,INDIVIDUAL,0
55326355,25000,25000, 36 months,16.99,D,D3,10+ years,OWN,52000,Source Verified,1/06/2015,Fully Paid,debt_consolidation,AZ,26046.9,24311.69,INDIVIDUAL,0
56772307,16000,16000, 36 months,15.61,D,D1,4 years,MORTGAGE,80000,Verified,1/07/2015,Late (31-120 days),debt_consolidation,TX,1105,559.44,INDIVIDUAL,0
37087001,10000,10000, 36 months,6.03,A,A1,4 years,MORTGAGE,105000,Not Verified,1/11/2014,Current,major_purchase,VA,4252.66,304.36,INDIVIDUAL,0
73475828,7000,7000, 36 months,6.49,A,A2,10+ years,MORTGAGE,93000,Verified,1/12/2015,Issued,,TX,0,0,INDIVIDUAL,0
56881992,24600,24600, 60 months,16.99,D,D3,6 years,OWN,89000,Source Verified,1/07/2015,,debt_consolidation,NY,3621.06,611.25,INDIVIDUAL,0
1759745,3150,3150, 36 months,14.33,C,C1,7 years,RENT,16000,Source Verified,1/09/2012,Fully Paid,debt_consolidation,CA,3891.555771,113.94,INDIVIDUAL,0
14991000,20000,20000, 36 months,12.49,B,B4,7 years,OWN,60000,Verified,1/03/2014,Fully Paid,home_improvement,IL,22297.78,14939,INDIVIDUAL,0
72198611,8000,8000, 36 months,7.89,A,A5,< 1 year,OWN,40000,Not Verified,1/12/2015,Current,credit_card,FL,246.78,250.29,INDIVIDUAL,0
31606739,4000,4000, 36 months,15.61,D,D1,< 1 year,RENT,40000,Not Verified,1/10/2014,Current,debt_consolidation,AZ,2097.9,139.86,INDIVIDUAL,0
28813291,1500,1500, 36 months,22.15,E,E5,2 years,RENT,13959,Not Verified,1/09/2014,Fully Paid,major_purchase,CA,1527.6875,1527.69,INDIVIDUAL,0
66086079,21000,21000, 36 months,8.18,B,B1,10+ years,RENT,110000,Not Verified,1/10/2015,Current,debt_consolidation,NY,1960.34,659.81,INDIVIDUAL,0
27670618,7500,7500, 36 months,7.69,A,A4,8 years,RENT,44000,Not Verified,1/08/2014,Current,debt_consolidation,FL,3743.36,233.96,INDIVIDUAL,0
63129748,35000,35000, 60 months,9.99,B,B3,5 years,MORTGAGE,121000,Verified,1/09/2015,Current,credit_card,MI,2925.36,743.48,INDIVIDUAL,0
12457113,29175,29175, 36 months,17.57,D,D2,10+ years,MORTGAGE,70000,Verified,1/01/2014,Current,debt_consolidation,MO,24224.48,1048.47,INDIVIDUAL,0
13656950,22500,22500, 36 months,8.9,A,A5,,OWN,68278,Source Verified,1/02/2014,Fully Paid,credit_card,GA,24763.95,14011.48,INDIVIDUAL,0
43818483,17650,17650, 36 months,5.93,A,A1,< 1 year,MORTGAGE,160000,Source Verified,1/02/2015,Current,debt_consolidation,PA,5888.66,536.39,INDIVIDUAL,0
574970,20000,20000, 36 months,13.22,C,C2,2 years,RENT,65500,Not Verified,1/11/2009,Fully Paid,debt_consolidation,GA,24073.64,44.26,INDIVIDUAL,0
67572188,15000,15000, 36 months,13.33,C,C3,10+ years,RENT,150000,Source Verified,1/11/2015,Current,credit_card,NY,1004.49,507.8,INDIVIDUAL,0
19877931,5250,5250, 36 months,15.61,D,D1,10+ years,MORTGAGE,72000,Not Verified,1/06/2014,Current,home_improvement,CT,3487.83,183.57,INDIVIDUAL,0
61009824,35000,35000, 36 months,11.53,B,B5,10+ years,MORTGAGE,110000,Source Verified,1/08/2015,Current,credit_card,MI,5750.88,1154.66,INDIVIDUAL,0
45259839,9000,9000, 36 months,6.39,A,A2,10+ years,RENT,75000,Not Verified,1/02/2015,Current,debt_consolidation,CA,2747.61,275.4,INDIVIDUAL,0
5818321,16700,16700, 60 months,21.49,E,E3,10+ years,MORTGAGE,94000,Verified,1/06/2013,Fully Paid,debt_consolidation,TX,18451.13,16169.08,INDIVIDUAL,0
1083203,18000,18000, 36 months,6.99,A,A3,5 years,MORTGAGE,86100,Verified,1/09/2011,,debt_consolidation,CA,20003.65408,568.3,INDIVIDUAL,0
52782022,7200,7200, 36 months,17.57,D,D4,3 years,RENT,80000,Verified,1/06/2015,Charged Off,moving,HI,769.22,258.75,INDIVIDUAL,0
426128,12000,12000, 36 months,15.68,E,E1,3 years,RENT,45996,Not Verified,1/04/2009,,debt_consolidation,NJ,15124.89,435.15,INDIVIDUAL,0
57955218,12000,12000, 36 months,7.89,A,A5,4 years,MORTGAGE,80000,Not Verified,1/07/2015,Current,debt_consolidation,LA,2247.32,375.43,INDIVIDUAL,0
70789220,19900,19900, 60 months,18.99,E,E3,8 years,MORTGAGE,75000,Source Verified,1/11/2015,Current,debt_consolidation,FL,474.12,516.11,INDIVIDUAL,0
13638984,10000,10000, 36 months,10.99,B,B2,2 years,OWN,55000,Source Verified,1/02/2014,Charged Off,debt_consolidation,IN,1964.04,327.34,INDIVIDUAL,0
22150473,11700,11700, 36 months,14.99,C,C5,3 years,RENT,80000,Verified,1/07/2014,Current,debt_consolidation,CA,7299.54,405.53,INDIVIDUAL,0
33740689,21650,21650, 60 months,16.29,D,D2,8 years,OWN,58880,Source Verified,1/10/2014,Current,credit_card,NJ,7908.26,529.83,INDIVIDUAL,0
72037211,12000,12000, 36 months,12.59,C,C2,2 years,MORTGAGE,43000,Verified,1/12/2015,Current,debt_consolidation,CA,385.18,401.97,INDIVIDUAL,0
26817877,30000,30000, 60 months,17.57,D,D4,4 years,MORTGAGE,122000,Verified,1/08/2014,Current,debt_consolidation,MO,12831.77,754.81,INDIVIDUAL,0
4848008,35000,35000, 60 months,21,E,E2,10+ years,MORTGAGE,163733,Verified,1/03/2013,Fully Paid,debt_consolidation,TX,51288.49993,21935.53,INDIVIDUAL,0
70010978,6500,6500, 36 months,8.18,B,B1,6 years,RENT,69000,Not Verified,1/11/2015,Current,credit_card,NY,402.55,204.23,INDIVIDUAL,0
9647244,8000,8000, 36 months,14.3,C,C1,,MORTGAGE,51600,Verified,1/11/2013,Charged Off,debt_consolidation,AZ,4940.52,274.59,INDIVIDUAL,0
9378451,12000,12000, 36 months,12.99,C,C1,1 year,MORTGAGE,100000,Source Verified,1/07/2014,Fully Paid,debt_consolidation,FL,12619.4762,11002.4,INDIVIDUAL,0
9341054,18000,18000, 36 months,11.99,B,B3,9 years,RENT,160000,Verified,1/10/2013,Charged Off,debt_consolidation,CA,11483.93,597.78,INDIVIDUAL,1919.85
49953131,10350,10350, 36 months,17.86,D,D5,10+ years,OWN,41000,Not Verified,1/04/2015,Current,debt_consolidation,AL,2967.14,373.46,INDIVIDUAL,0
44315970,20000,20000, 36 months,9.99,B,B3,10+ years,MORTGAGE,48000,Verified,1/03/2015,Current,credit_card,IL,6430.3,645.25,INDIVIDUAL,0
10786753,5500,5500, 36 months,8.9,A,A5,3 years,RENT,90400,Not Verified,1/11/2013,Fully Paid,debt_consolidation,FL,6170.888712,2504.65,INDIVIDUAL,0
19788157,19500,19500, 36 months,9.17,B,B1,4 years,MORTGAGE,89700,Source Verified,1/06/2014,Current,debt_consolidation,AZ,11811.16,621.64,INDIVIDUAL,0
53324010,6000,6000, 36 months,14.65,C,C5,,MORTGAGE,20000,Verified,1/05/2015,Current,debt_consolidation,IL,1541.58,206.97,INDIVIDUAL,0
67771653,25000,25000, 36 months,18.55,E,E2,10+ years,OWN,59642,Verified,1/10/2015,Current,credit_card,NY,1795.7,910.73,INDIVIDUAL,0
22219767,13000,13000, 36 months,12.99,C,C1,< 1 year,RENT,40000,Source Verified,1/07/2014,Current,debt_consolidation,AZ,7883.28,437.96,INDIVIDUAL,0
58800898,25000,25000, 36 months,6.24,A,A2,10+ years,MORTGAGE,100000,Verified,1/07/2015,,debt_consolidation,AL,4571.01,763.28,INDIVIDUAL,0
41231733,35000,35000, 36 months,12.39,C,C1,3 years,RENT,155000,Verified,1/01/2015,Current,debt_consolidation,WI,13968.25,1169.04,INDIVIDUAL,0
875964,11200,11200, 36 months,7.29,A,A4,4 years,MORTGAGE,95000,Source Verified,1/03/2011,Fully Paid,credit_card,MO,12500.10304,372.25,INDIVIDUAL,0
46396442,10000,10000, 60 months,17.86,D,D5,< 1 year,RENT,35000,Source Verified,1/03/2015,Current,debt_consolidation,CA,2268.7,253.18,INDIVIDUAL,0
1772693,6550,6550, 36 months,8.9,A,A5,1 year,MORTGAGE,25000,Source Verified,1/09/2012,Fully Paid,debt_consolidation,NC,7486.075529,213.4,INDIVIDUAL,0
61190917,10600,10600, 36 months,17.57,D,D4,4 years,RENT,40000,Verified,1/08/2015,Current,debt_consolidation,CA,1920.21,380.94,INDIVIDUAL,0
64243456,4300,4300, 36 months,13.33,C,C3,1 year,RENT,12000,Not Verified,1/09/2015,Current,major_purchase,MN,433.53,145.57,INDIVIDUAL,0
33228888,10000,10000, 36 months,13.35,C,C2,10+ years,RENT,57000,Source Verified,1/10/2014,Current,debt_consolidation,CA,4722.28,338.63,INDIVIDUAL,0
58760486,11200,11200, 36 months,14.65,C,C5,8 years,RENT,40000,Source Verified,1/07/2015,Current,debt_consolidation,WV,1959.04,386.34,INDIVIDUAL,0
62715405,12000,12000, 36 months,8.18,B,B1,10+ years,RENT,90000,Source Verified,1/09/2015,Current,debt_consolidation,CA,1502.71,377.04,INDIVIDUAL,0
13857306,15000,15000, 36 months,12.49,B,B4,10+ years,MORTGAGE,49000,Source Verified,1/02/2014,Fully Paid,credit_card,AL,16939.77,10417.15,INDIVIDUAL,0
1231610,5600,5600, 36 months,15.96,C,C5,9 years,RENT,48000,Source Verified,1/10/2011,Fully Paid,debt_consolidation,CA,7068.425644,604.17,INDIVIDUAL,0
68328153,8400,8400, 36 months,8.18,B,B1,< 1 year,RENT,80000,Not Verified,1/11/2015,Current,debt_consolidation,NH,524.04,263.93,INDIVIDUAL,0
55247815,25000,25000, 60 months,7.89,A,A5,10+ years,MORTGAGE,89168,Verified,1/06/2015,Current,credit_card,WA,3517.28,505.6,INDIVIDUAL,0
46386675,30000,"30,000", 60 months,18.84,E,E2,6 years,RENT,64000,Verified,1/03/2015,Current,credit_card,TX,6948.82,775.58,INDIVIDUAL,0
65618736,25000,"25,000", 36 months,9.17,B,B2,10+ years,OWN,120000,Not Verified,1/10/2015,Current,credit_card,NE,2378.2,796.98,INDIVIDUAL,0
63505271,24000,24000, 60 months,7.89,A,A5,5 years,MORTGAGE,88000,Not Verified,1/08/2015,Current,credit_card,TX,1931,485.38,INDIVIDUAL,0
3177609,30000,30000, 60 months,17.77,D,D1,< 1 year,MORTGAGE,85000,Verified,1/01/2013,Current,home_improvement,FL,27284.18,758.06,INDIVIDUAL,0
34061170,11200,11200, 36 months,10.99,B,B3,10+ years,OWN,46500,Not Verified,1/10/2014,Fully Paid,debt_consolidation,MA,11366.06,139.64,INDIVIDUAL,0
49758554,4375,4375, 36 months,12.29,C,C1,2 years,RENT,25000,Not Verified,1/04/2015,Fully Paid,credit_card,CA,4590.86,4010.17,INDIVIDUAL,0
47582318,28000,28000, 60 months,10.99,B,B4,3 years,RENT,200000,Source Verified,1/05/2015,Current,credit_card,MA,4835.01,608.65,INDIVIDUAL,0
14468101,13200,13200, 60 months,17.57,D,D4,7 years,RENT,56000,Source Verified,1/06/2014,Fully Paid,debt_consolidation,CA,13960.76253,12964.4,INDIVIDUAL,0
1613264,8000,8000, 36 months,12.12,B,B3,8 years,RENT,35000,Not Verified,1/07/2012,Fully Paid,credit_card,MA,9580.617456,270.97,INDIVIDUAL,0
16520801,5750,5750, 36 months,16.59,D,D1,7 years,RENT,75000,Not Verified,1/04/2014,Fully Paid,debt_consolidation,NY,6499.34,4664.78,INDIVIDUAL,0
15469833,13625,13625, 60 months,21.18,E,E3,9 years,MORTGAGE,100000,Verified,1/04/2014,Fully Paid,credit_card,IL,15032.7824,13182.83,INDIVIDUAL,0
34821495,20000,20000, 36 months,16.29,D,D2,10+ years,RENT,64000,Source Verified,1/10/2014,Late (31-120 days),moving,TX,7042,706.01,INDIVIDUAL,0
67696846,20000,20000, 36 months,6.24,A,A2,10+ years,RENT,89000,Source Verified,1/10/2015,Current,debt_consolidation,CA,1800.65,610.62,INDIVIDUAL,0
58759722,15000,15000, 36 months,8.18,B,B1,10+ years,MORTGAGE,80000,Not Verified,1/07/2015,Current,debt_consolidation,PA,2820.98,471.3,INDIVIDUAL,0
49912999,15000,15000, 36 months,15.61,D,D1,5 years,RENT,60000,Source Verified,1/05/2015,Current,medical,NJ,3645.34,524.48,INDIVIDUAL,0
1420644,35000,35000, 60 months,14.65,C,C2,6 years,MORTGAGE,72000,Verified,1/03/2012,Fully Paid,debt_consolidation,NM,41896.56,27854.96,INDIVIDUAL,0
26917956,12000,12000, 36 months,13.98,C,C3,6 years,RENT,65975.01,Not Verified,1/08/2014,Fully Paid,debt_consolidation,CA,13718.43,8388.17,INDIVIDUAL,0
55286384,15000,15000, 36 months,9.17,B,B2,5 years,MORTGAGE,120000,Not Verified,1/06/2015,Current,debt_consolidation,GA,3339.69,478.19,INDIVIDUAL,0
41311620,16650,16650, 36 months,11.44,B,B4,8 years,RENT,38000,Source Verified,1/01/2015,Current,credit_card,OH,6023.8,548.58,INDIVIDUAL,0
24744527,13700,13700, 36 months,13.35,C,C2,,RENT,38172,Verified,1/07/2014,Current,debt_consolidation,SD,7886.81,463.93,INDIVIDUAL,0
64152945,10200,"$10,200", 60 months,18.25,E,E1,4 years,RENT,42000,Source Verified,1/09/2015,Current,,SC,770.89,260.41,INDIVIDUAL,0
59651476,8100,8100, 36 months,17.86,D,D5,10+ years,MORTGAGE,105000,Not Verified,1/08/2015,Fully Paid,small_business,LA,8559.89,5484.57,INDIVIDUAL,0
13207453,8400,8400, 36 months,9.67,B,B1,3 years,MORTGAGE,107000,Source Verified,1/01/2014,,credit_card,CA,9152.17,5915.17,INDIVIDUAL,0
60354577,10000,10000, 36 months,12.29,C,C1,< 1 year,MORTGAGE,57600,Not Verified,1/08/2015,Current,debt_consolidation,MO,1653.99,333.53,INDIVIDUAL,0
59650362,10000,"$10,000", 36 months,12.29,C,C1,9 years,RENT,58000,Not Verified,1/07/2015,Current,debt_consolidation,AZ,1987.52,333.53,INDIVIDUAL,0
64233798,25000,25000, 36 months,5.32,A,A1,< 1 year,OWN,75000,Not Verified,1/09/2015,Current,credit_card,NM,3004.09,752.87,INDIVIDUAL,0
1647495,10000,"10,000", 36 months,17.27,C,C5,7 years,OWN,56000,Not Verified,1/07/2012,Charged Off,debt_consolidation,NJ,6436.98,357.88,INDIVIDUAL,0
61017416,10000,10000, 36 months,6.89,A,A3,10+ years,MORTGAGE,380000,Source Verified,1/08/2015,Current,,IL,1537.52,308.27,INDIVIDUAL,0
47741428,11875,11875, 60 months,17.57,D,D4,1 year,RENT,27000,Source Verified,1/04/2015,Current,debt_consolidation,FL,2706.4,298.78,INDIVIDUAL,0
9637964,4200,4200, 36 months,12.99,B,B4,8 years,MORTGAGE,60000,Not Verified,1/10/2013,Current,debt_consolidation,NC,3819.58,141.5,INDIVIDUAL,0
16652858,20000,20000, 36 months,12.49,B,B4,10+ years,RENT,71000,Source Verified,1/04/2014,Current,debt_consolidation,WA,13379.6,668.98,INDIVIDUAL,0
