,member_id,interest_rate,emp_length,verification_status,issue_date,loan_status,purpose,total_pymnt,recoveries
,46051315,8.18,3 years,Verified,1/03/2015,Current,credit_card,10965.09,0
,8178976,16.55,4 years,Verified,1/07/2015,Current,other,4444.81,0
,32768123,12.99,,Verified,1/10/2014,Current,debt_consolidation,1713.89,0
,17482499,15.31,10+ years,Verified,1/05/2014,Fully Paid,credit_card,35833.93,0
,62344688,9.99,8 years,Source Verified,1/08/2015,Current,credit_card,2302.94,0
,64343511,9.17,6 years,Source Verified,1/09/2015,Current,debt_consolidation,761.04,0
,20767922,11.67,2 years,Verified,1/06/2014,Fully Paid,,5698.49,0
,40761311,11.44,,Verified,1/01/2015,Current,debt_consolidation,2482.83,0
,21269308,16.29,< 1 year,Source Verified,1/06/2014,Current,home_improvement,5579.73,0
,799594,5.79,7 years,Source Verified,1/12/2010,Fully Paid,debt_consolidation,6657.97,0
,57688058,16.99,< 1 year,Not Verified,1/07/2015,Current,debt_consolidation,3215.39,0
,66265344,7.89,5 years,Source Verified,1/10/2015,Current,debt_consolidation,310.67,0
,66958931,8.18,6 years,Not Verified,1/10/2015,Current,debt_consolidation,1125.67,0
,58691572,8.18,10+ years,Source Verified,1/07/2015,Current,debt_consolidation,3436.15,0
,12276743,16.59,4 years,Not Verified,1/04/2014,Current,credit_card,9311.2,0
,59573663,12.69,10+ years,Not Verified,1/08/2015,Current,debt_consolidation,1606.55,0
,61028573,9.17,10+ years,Source Verified,1/08/2015,Current,debt_consolidation,933.46,0
,44254906,12.29,< 1 year,Verified,1/03/2015,Current,debt_consolidation,6696.92,0
,58689118,9.17,2 years,Source Verified,1/07/2015,Current,debt_consolidation,4578.37,0
,61607090,15.61,10+ years,Source Verified,1/08/2015,Current,debt_consolidation,2154.44,0
,20728345,16.29,1 year,Verified,1/06/2014,In Grace Period,credit_card,7946.36,0
,38018019,19.24,1 year,Source Verified,1/11/2014,Current,other,6533.61,0
,20116980,9.17,10+ years,Not Verified,1/06/2014,Fully Paid,,10962.46,0
,15110332,12.49,4 years,Source Verified,1/03/2014,Current,other,3512.25,0
,59769963,14.65,9 years,Source Verified,1/07/2015,Current,,2051.36,0
,64372087,16.99,< 1 year,Source Verified,1/09/2015,Current,debt_consolidation,661.33,0
,52961958,15.61,8 years,Not Verified,1/05/2015,Current,credit_card,2304.31,0
,58399181,12.29,1 year,Not Verified,1/07/2015,Current,debt_consolidation,1804.15,0
,37145323,14.31,10+ years,Verified,1/11/2014,,credit_card,4908.24,0
,55310188,17.57,< 1 year,Not Verified,1/07/2015,Current,credit_card,2849.75,0
,64957021,9.17,8 years,Not Verified,1/10/2015,Current,debt_consolidation,2243.28,0
,46416621,18.25,3 years,Verified,1/03/2015,Fully Paid,debt_consolidation,33595.69,0
,1357075,12.69,< 1 year,Source Verified,1/02/2012,Charged Off,debt_consolidation,10875.79,5253.55
,1715203,15.31,10+ years,Verified,1/08/2012,Fully Paid,debt_consolidation,14617.64784,0
,22943891,10.15,6 years,Not Verified,1/07/2014,Current,debt_consolidation,19240.94,0
,13340084,10.99,7 years,Verified,1/02/2014,Current,debt_consolidation,7999.4,0
,40543963,17.86,5 years,Source Verified,1/12/2014,Current,debt_consolidation,4897.69,0
,64944534,13.33,10+ years,Source Verified,1/10/2015,Current,credit_card,3502.74,0
,44616987,6.92,5 years,Not Verified,1/03/2015,Current,credit_card,5852.5,0
,21279688,17.57,5 years,Source Verified,1/07/2014,Current,debt_consolidation,15686.64,0
,6877275,19.72,4 years,Verified,1/06/2013,Current,credit_card,34428.96,0
,22641903,13.98,10+ years,Not Verified,1/07/2014,Current,debt_consolidation,4305.24,0
,45341699,13.33,10+ years,Source Verified,1/03/2015,Current,debt_consolidation,5066.89,0
,71229535,10.64,10+ years,Source Verified,1/12/2015,Current,credit_card,0,0
,7639532,19.52,3 years,Not Verified,1/07/2013,Fully Paid,credit_card,3056.14,0
,61834052,24.99,1 year,Verified,1/08/2015,Current,debt_consolidation,3109.37,0
,53672033,7.89,2 years,Not Verified,1/06/2015,Current,debt_consolidation,2110.37,0
,11667026,11.99,10+ years,Not Verified,1/12/2013,Current,debt_consolidation,8302.5,0
,1050063,17.99,6 years,Verified,1/08/2011,Fully Paid,credit_card,32567.71,0
,14939976,26.77,6 years,Verified,1/08/2015,Late (31-120 days),other,621.57,0
,41369871,10.49,7 years,Source Verified,1/01/2015,Current,credit_card,5134.05,0
,63495789,9.99%,10+ years,Source Verified,1/09/2015,Current,debt_consolidation,3474.95,0
,10430360,16.2,3 years,Verified,1/11/2013,Charged Off,debt_consolidation,11176.17,0
,63345757,18.25,2 years,Verified,1/09/2015,Current,debt_consolidation,2022.12,0
,41536114,6.49,6 years,Not Verified,1/01/2015,Current,credit_card,4381.84,0
,46516391,13.99,9 years,Not Verified,1/03/2015,Current,credit_card,2721.46,0
,1360614,11.71,< 1 year,Source Verified,1/02/2012,Fully Paid,,6727.39,0
,58741759,17.57,10+ years,Verified,1/07/2015,Default,credit_card,417.75,0
,16400726,17.57,3 years,Verified,1/04/2014,Current,debt_consolidation,10567.41,0
,316240,9.76,2 years,Not Verified,1/03/2008,Fully Paid,credit_card,3471.82,0
,49942831,18.25,6 years,Verified,1/04/2015,Current,debt_consolidation,6955.38,0
,24614619,16.29,10+ years,Source Verified,1/08/2014,Charged Off,debt_consolidation,0,0
,52596201,17.57,5 years,Verified,1/06/2015,Current,debt_consolidation,3978.61,0
,42504936,9.49,1 year,Not Verified,1/02/2015,Current,debt_consolidation,6173.85,0
,36955417,12.39,2 years,Source Verified,1/11/2014,Current,debt_consolidation,16330.42,0
,851589,7.29,5 years,Not Verified,1/02/2011,Fully Paid,debt_consolidation,8035.49,0
,69644631,13.67,10+ years,Source Verified,1/11/2015,Current,debt_consolidation,663.71,0
,65568889,13.33,1 year,Source Verified,1/10/2015,Current,home_improvement,504.11,0
,7818023,18.25,8 years,Verified,1/08/2013,Current,,10519.72,0
,49950891,15.61,8 years,Not Verified,1/04/2015,Current,home_improvement,2702.75,0
,68621114,9.17,7 years,Not Verified,1/11/2015,Current,debt_consolidation,941.1,0
,64825679,11.53,10+ years,Not Verified,1/10/2015,Current,credit_card,1260.85,0
,59055514,14.65,7 years,Not Verified,1/07/2015,Current,,2520.22,0
,35874461,17.57,4 years,Source Verified,1/11/2014,Current,debt_consolidation,9835.53,0
,14668103,12.99,2 years,Not Verified,1/03/2014,Current,medical,11858.66,0
,72499779,9.76,10+ years,Source Verified,1/12/2015,Current,debt_consolidation,0,0
,5226724,11.14,< 1 year,Not Verified,1/04/2013,Fully Paid,debt_consolidation,18216.56863,0
,71229477,9.17,10+ years,Source Verified,1/12/2015,Current,credit_card,120.36,0
,5011298,15.8,10+ years,Verified,1/04/2013,Fully Paid,debt_consolidation,29851.38204,0
,773544,9.25,4 years,Not Verified,1/10/2010,Fully Paid,debt_consolidation,5512.76,0
,46385955,10.99,10+ years,Source Verified,1/03/2015,Current,debt_consolidation,3901.81,0
,56975142,9.17,10+ years,Source Verified,1/07/2015,Fully Paid,debt_consolidation,17511.23,0
,58729158,13.99,3 years,Not Verified,1/08/2015,Current,debt_consolidation,609.55,0
,70389910,18.99,10+ years,Source Verified,1/12/2015,Current,debt_consolidation,595.63,0
,15169484,13.65,7 years,Verified,1/03/2014,Fully Paid,,5744.63,0
,64835251,12.29,5 years,Source Verified,1/10/2015,,credit_card,1007.41,0
,22580907,16.99,10+ years,Source Verified,1/07/2014,Current,debt_consolidation,14245.02,0
,63344906,17.57,2 years,Source Verified,1/09/2015,Current,debt_consolidation,4377.97,0
,42385788,16.49,8 years,Source Verified,1/02/2015,Current,debt_consolidation,4715.51,0
,7205395,14.09,10+ years,Source Verified,1/07/2013,Fully Paid,debt_consolidation,16496.97001,0
,15389570,12.49,4 years,Source Verified,1/04/2014,Fully Paid,credit_card,6512.24,0
,31117073,11.67,3 years,Not Verified,1/10/2014,Current,credit_card,4760.25,0
,1782340,8.9,10+ years,Verified,1/09/2012,Fully Paid,debt_consolidation,17264.45,0
,49713840,13.33,< 1 year,Verified,1/04/2015,Current,debt_consolidation,1350.46,0
,13328144,13.53,10+ years,Verified,1/02/2014,Current,debt_consolidation,5465.95,0
,34371301,16.99,1 year,Verified,1/10/2014,Current,other,1793.36,0
,17332008,12.99%,< 1 year,Source Verified,1/04/2014,Current,debt_consolidation,5659.8,0
,71269317,13.67,7 years,Source Verified,1/12/2015,Current,other,0,0
,22139798,13.98,7 years,Verified,1/07/2014,Current,home_improvement,3997.8,0
,61425255,10.99,< 1 year,Source Verified,1/08/2015,,credit_card,4106.29,0
,8753800,25.8,10+ years,Verified,1/09/2013,Fully Paid,debt_consolidation,43856.95215,0
,55328793,13.99,10+ years,Not Verified,1/07/2015,Current,debt_consolidation,3063.94,0
,1745940,17.77,4 years,Not Verified,1/10/2012,Fully Paid,debt_consolidation,11675.52538,0
,45460867,6.39,9 years,Verified,1/03/2015,Current,credit_card,7335.28,0
,13967513,7.62,3 years,Verified,1/02/2014,Fully Paid,debt_consolidation,31389.96037,0
,51873598,6.68,6 years,Not Verified,1/05/2015,Current,debt_consolidation,1472.89,0
,64262823,18.55,3 years,Verified,1/09/2015,Current,debt_consolidation,3306.71,0
,24555397,12.99,1 year,Verified,1/09/2014,Current,credit_card,12738.88,0
,48741920,13.99%,10+ years,Verified,1/04/2015,Fully Paid,debt_consolidation,14179.53,0
,63027548,16.99,9 years,Source Verified,1/08/2015,Current,other,254.98,0
,49202224,8.18,10+ years,Not Verified,1/04/2015,Current,credit_card,5081.86,0
,45240942,13.99,10+ years,Source Verified,1/03/2015,Current,vacation,2216.25,0
,31757757,13.35,< 1 year,Verified,1/10/2014,Current,debt_consolidation,6209.7,0
,9827655,6,10+ years,Verified,1/10/2013,,debt_consolidation,4474.512299,0
,64935901,19.99,1 year,Source Verified,1/10/2015,Fully Paid,debt_consolidation,15373.26,0
,16010581,6.62,2 years,Source Verified,1/04/2014,Current,debt_consolidation,2966.04,0
,65024527,18.55,2 years,Source Verified,1/10/2015,Current,debt_consolidation,914.52,0
,41332248,11.44,5 years,Source Verified,1/01/2015,Fully Paid,credit_card,23746.3,0
,10678259,13.67,10+ years,Verified,1/11/2013,Current,debt_consolidation,15371.33,0
,46231952,15.61,,Verified,1/03/2015,Current,other,1564.8,0
,1420644,14.65,6 years,Verified,1/03/2012,Fully Paid,,41896.56,0
,64854721,7.89,< 1 year,Source Verified,1/10/2015,Current,debt_consolidation,2138.55,0
,53562323,22.99,10+ years,Verified,1/05/2015,Fully Paid,debt_consolidation,27255.53,0
,37346967,15.59,3 years,Not Verified,1/11/2014,Current,home_improvement,3988.14,0
,49644532,14.65,10+ years,Not Verified,1/04/2015,Current,home_improvement,1960.44,0
,70345649,9.17,10+ years,Source Verified,1/11/2015,,,313.71,0
,6992549,22.47,,Verified,1/06/2013,Current,other,10367.59,0
,1750163,21.98,,Verified,1/09/2012,Current,debt_consolidation,18138.4,0
,59719769,19.19,3 years,Verified,1/07/2015,Current,debt_consolidation,7532.53,0
,7196844,19.05,< 1 year,Verified,1/06/2013,Current,debt_consolidation,8068.76,0
,6056983,17.27,1 year,Source Verified,1/05/2013,Charged Off,home_improvement,32559.09,0
,50619168,16.55,4 years,Source Verified,1/05/2015,Current,debt_consolidation,6859.02,0
,2430074,18.49%,10+ years,Verified,1/11/2012,Fully Paid,credit_card,26206.98,0
,56651012,7.89,7 years,Source Verified,1/07/2015,Current,debt_consolidation,4562.78,0
,49241948,7.89,5 years,Source Verified,1/04/2015,Fully Paid,credit_card,21034.96,0
,54906357,11.53,10+ years,Not Verified,1/06/2015,Current,debt_consolidation,1151.52,0
,12657897,16.99,10+ years,Verified,1/01/2014,Current,debt_consolidation,8000.52,0
,61914117,12.29,6 years,Not Verified,1/08/2015,Current,credit_card,1985.54,0
,430151,7.68,< 1 year,Not Verified,1/04/2009,Fully Paid,debt_consolidation,3114.82,0
,12510074,16.99,3 years,Source Verified,1/01/2014,Charged Off,debt_consolidation,12524.44,3579.43
,49894058,18.25,2 years,Source Verified,1/05/2015,Current,debt_consolidation,4044.24,0
,63345696,8.18,9 years,Source Verified,1/09/2015,Current,,1052.97,0
,49964699,14.65,3 years,Verified,1/05/2015,Fully Paid,debt_consolidation,32606.09,0
,10348969,9.67,6 years,Verified,1/11/2013,Fully Paid,debt_consolidation,8982.832254,0
,51934222,7.89,9 years,Source Verified,1/05/2015,Fully Paid,credit_card,19753.38,0
,59186524,18.25,10+ years,Verified,1/07/2015,Current,major_purchase,1845.45,0
,10418115,7.9,< 1 year,Not Verified,1/11/2013,Current,credit_card,6508.58,0
,49225000,19.52,3 years,Source Verified,1/05/2015,Current,debt_consolidation,3686.05,0
,61875395,7.89,4 years,Source Verified,1/09/2015,Current,debt_consolidation,1888.83,0
,747339,14.72,3 years,Not Verified,1/09/2010,Fully Paid,credit_card,5591.68,0
,2631953,14.33,10+ years,Verified,1/11/2012,Fully Paid,debt_consolidation,9364.640468,0
,38017619,13.66,2 years,Not Verified,1/11/2014,Late (31-120 days),debt_consolidation,2037.05,0
,13368568,22.9,2 years,Verified,1/02/2014,Current,debt_consolidation,8508.85,0
,6438334,11.14,< 1 year,Not Verified,1/05/2013,Current,debt_consolidation,6102.04,0
,45107907,7.89,10+ years,Not Verified,1/03/2015,Current,debt_consolidation,4686.32,0
,1960218,12.12,10+ years,Not Verified,1/11/2012,Fully Paid,medical,2395.511141,0
,43376538,11.99,10+ years,Not Verified,1/02/2015,Current,debt_consolidation,3275.8,0
,59601212,7.26,10+ years,Source Verified,1/08/2015,Current,debt_consolidation,4637.35,0
,43976074,9.17,,Verified,1/02/2015,Current,credit_card,2282.32,0
,33819882,13.98%,3 years,Not Verified,1/10/2014,Current,debt_consolidation,5216,0
,49768000,20.49,10+ years,Verified,1/05/2015,Current,debt_consolidation,7455.04,0
,58800898,6.24,10+ years,Verified,1/07/2015,Current,debt_consolidation,4571.01,0
,14970834,17.57,10+ years,Source Verified,1/03/2014,Current,debt_consolidation,7978.32,0
,14788681,18.92,< 1 year,Source Verified,1/03/2014,Charged Off,debt_consolidation,13259.04,0
,41412405,12.99,10+ years,Source Verified,1/02/2015,Fully Paid,debt_consolidation,22074.81,0
,70780715,13.67,10+ years,Verified,1/12/2015,Current,credit_card,233.06,0
,1014591,15.99,6 years,Source Verified,1/07/2011,Fully Paid,debt_consolidation,5544.23,0
,22973554,20.2,< 1 year,Source Verified,1/07/2014,Current,debt_consolidation,6965.41,0
,5472586,6.03,9 years,Verified,1/04/2013,Current,credit_card,20084.36,0
,14398264,14.16,10+ years,Not Verified,1/02/2014,Fully Paid,debt_consolidation,6816.78,0
,1252285,7.9,3 years,Not Verified,1/11/2011,Fully Paid,credit_card,3332.8,0
,61567293,10.99,10+ years,Source Verified,1/08/2015,Current,credit_card,3782.73,0
,37026559,10.49,5 years,Not Verified,1/11/2014,Fully Paid,major_purchase,20375.06,0
,64587566,9.17,4 years,Verified,1/09/2015,Current,other,834.92,0
,1036484,9.99,< 1 year,Source Verified,1/07/2011,Fully Paid,,6388.87,0
,5780770,7.9,7 years,Not Verified,1/05/2013,Fully Paid,debt_consolidation,5752.49,0
,6456961,12.12,2 years,Not Verified,1/05/2013,Current,debt_consolidation,6386.9,0
,69999219,8.18%,8 years,Source Verified,1/11/2015,Current,debt_consolidation,12305.1,0
,7412035,15.88,6 years,Source Verified,1/07/2013,Charged Off,debt_consolidation,3504.13,0
,61171036,7.26,6 years,Source Verified,1/08/2015,Current,credit_card,1478.16,0
,9869190,10.99,10+ years,Not Verified,1/10/2013,Current,credit_card,8507.51,0
,1702308,17.77,10+ years,Verified,1/08/2012,Fully Paid,debt_consolidation,17831.08648,0
,40554984,17.86,4 years,Source Verified,1/12/2014,Fully Paid,debt_consolidation,12523.86,0
,44215539,16.55,10+ years,Verified,1/03/2015,Current,credit_card,2827.04,0
,15970346,18.25,10+ years,Verified,1/04/2014,Current,credit_card,12545.4,0
,520078,14.96,9 years,Not Verified,1/08/2009,Fully Paid,educational,8728.12,0
,43375370,25.89,,Verified,1/01/2015,Late (16-30 days),debt_consolidation,5703.05,0
,10867059,7.62,2 years,Not Verified,1/11/2013,Fully Paid,credit_card,10356.64093,0
,6508766,7.62,10+ years,Verified,1/06/2013,Current,credit_card,19613.78,0
,18203326,20.2,10+ years,Verified,1/05/2014,Current,debt_consolidation,5990.32,0
,7838004,18.25,< 1 year,Source Verified,1/07/2013,Late (31-120 days),wedding,10919.58,0
,6327039,19.52,< 1 year,Not Verified,1/08/2013,Current,debt_consolidation,6424.08,0
,2743357,21.49,1 year,Verified,1/12/2012,Current,credit_card,35381.01,0
,8753789,9.99,3 years,Not Verified,1/09/2013,Fully Paid,home_improvement,9329.560342,0
,71131550,14.48,,Verified,1/12/2015,Current,debt_consolidation,547.73,0
,10760253,12.99,10+ years,Verified,1/11/2013,Fully Paid,debt_consolidation,18622.21825,0
,38478777,10.49,1 year,Verified,1/12/2014,Current,credit_card,14766.19,0
,65490846,10.99,5 years,Not Verified,1/10/2015,Current,debt_consolidation,969.05,0
,51993794,7.89,10+ years,Source Verified,1/05/2015,Current,credit_card,2998.18,0
,49715853,11.53,8 years,Not Verified,1/04/2015,Current,other,579.23,0
,21780147,18.24,4 years,Source Verified,1/07/2014,Current,debt_consolidation,11485.98,0
,37867775,7.49,10+ years,Verified,1/11/2014,Current,debt_consolidation,8074.04,0
,57014871,7.89,10+ years,Source Verified,1/07/2015,Current,major_purchase,2168.4,0
,11030784,19.52,2 years,Verified,1/12/2013,Fully Paid,home_improvement,43834.33791,0
,51834881,7.89,4 years,Verified,1/05/2015,Current,debt_consolidation,1811.46,0
,72186829,13.67,5 years,Source Verified,1/12/2015,Current,debt_consolidation,319.28,0
,1831692,13.11,10+ years,Not Verified,1/10/2012,Fully Paid,vacation,2184.480843,0
,60587934,13.33,7 years,Verified,1/08/2015,Current,,1536.73,0
,40821020,9.49%,10+ years,Not Verified,1/01/2015,Current,debt_consolidation,2299.71,0
,16290895,15.31,6 years,Source Verified,1/04/2014,Fully Paid,credit_card,27807.26,0
,6047533,8.9,8 years,Not Verified,1/05/2013,Current,debt_consolidation,8123.92,0
,57568624,11.53,10+ years,Source Verified,1/07/2015,Current,debt_consolidation,1966.65,0
,34250335,12.49,10+ years,Not Verified,1/10/2014,Current,debt_consolidation,1963.95,0
,48393166,7.89,10+ years,Verified,1/04/2015,Current,credit_card,8744.66,0
,1019162,5.99,2 years,Not Verified,1/07/2011,Fully Paid,car,5201.08033,0
,41223955,6.99,7 years,Source Verified,1/01/2015,Current,debt_consolidation,8141.13,0
,12517667,13.53,4 years,Verified,1/01/2014,Current,credit_card,24444,0
,648878,9.88,< 1 year,Verified,1/05/2010,Fully Paid,debt_consolidation,18550.49,0
,41223884,7.49,10+ years,Source Verified,1/01/2015,Current,debt_consolidation,4100.86,0
,57698750,12.29,3 years,Not Verified,1/07/2015,Fully Paid,debt_consolidation,2008.88,0
,2432470,10.99,3 years,Not Verified,1/06/2014,Fully Paid,debt_consolidation,18161.58,0
,6060687,10.16,10+ years,Not Verified,1/05/2013,Charged Off,home_improvement,1437.64,402.68
,63139442,17.86,10+ years,Source Verified,1/09/2015,Current,debt_consolidation,1261.39,0
,10797633,15.1,6 years,Verified,1/11/2013,Current,debt_consolidation,5055.5,0
,1288385,16.77,< 1 year,Verified,1/12/2011,Fully Paid,debt_consolidation,23363.59,0
,15549529,18.25,2 years,Verified,1/04/2014,Current,debt_consolidation,16083.69,0
,65529470,17.57,3 years,Source Verified,1/10/2015,Current,debt_consolidation,1095.62,0
,58668865,7.89,10+ years,Source Verified,1/07/2015,Current,,3183.71,0
,11934635,15.61,6 years,Source Verified,1/01/2014,Current,debt_consolidation,5786.88,0
,59561646,8.18,5 years,Verified,1/07/2015,Current,debt_consolidation,1874.29,0
,18273686,22.15,10+ years,Not Verified,1/05/2014,Current,debt_consolidation,8270.7,0
,63059586,14.65,2 years,Source Verified,1/08/2015,Current,debt_consolidation,2126.02,0
,1616321,21,10+ years,Verified,1/07/2012,Fully Paid,debt_consolidation,31880.44901,0
,16690688,7.9,3 years,Not Verified,1/05/2014,Current,debt_consolidation,5945.2,0
,21909134,12.49,4 years,Not Verified,1/06/2014,Current,debt_consolidation,5084.4,0
,42513508,11.44,,Verified,1/01/2015,Current,debt_consolidation,2175.7,0
,9420385,15.61,6 years,Verified,1/10/2013,Fully Paid,debt_consolidation,8933.935331,0
,8748451,14.33,2 years,Source Verified,1/09/2013,In Grace Period,debt_consolidation,8195.85,0
,70289029,13.67,5 years,Not Verified,1/11/2015,Current,debt_consolidation,263.51,0
,70761536,9.17,3 years,Verified,1/12/2015,Current,debt_consolidation,265.64,0
,10762056,14.3,10+ years,Verified,1/11/2013,Fully Paid,debt_consolidation,20642.90293,0
,36965328,19.24,,Verified,1/11/2014,Current,other,3952.31,0
,16553029,20.49,8 years,Source Verified,1/04/2014,Current,medical,1590.2,0
,42812547,8.67,2 years,Source Verified,1/01/2015,Current,credit_card,3128.68,0
,65641045,12.69,7 years,Not Verified,1/10/2015,Current,debt_consolidation,1140.35,0
,1014566,11.99,10+ years,Not Verified,1/07/2011,Fully Paid,renewable_energy,11357.15186,0
,6106835,17.77,1 year,Source Verified,1/05/2013,Current,credit_card,8043.57,0
,49818878,12.29,< 1 year,Not Verified,1/04/2015,Current,credit_card,796.38,0
,66135382,12.69,,Verified,1/10/2015,Current,debt_consolidation,262.72,0
,1028596,10.99,3 years,Source Verified,1/07/2011,Fully Paid,vacation,18852.77,0
,42672190,10.49,,Source Verified,1/01/2015,Current,debt_consolidation,1425.34,0
,44427320,5.93,2 years,Verified,1/03/2015,Current,credit_card,3642.95,0
,5012686,6.62,10+ years,Source Verified,1/09/2013,Fully Paid,debt_consolidation,15792.74266,0
,993733,17.99,< 1 year,Verified,1/06/2011,Fully Paid,debt_consolidation,43110.53,0
,50106844,15.61,10+ years,Verified,1/05/2015,Current,debt_consolidation,1812.6,0
,10997218,7.62,10+ years,Not Verified,1/12/2013,Current,debt_consolidation,4205.16,0
,64281950,14.65,,Source Verified,1/09/2015,Current,debt_consolidation,1278.3,0
,42802679,10.49,3 years,Not Verified,1/02/2015,Current,credit_card,5353.43,0
,63037969,24.99,< 1 year,Verified,1/09/2015,Current,debt_consolidation,4059.81,0
,22230636,16.99,10+ years,Verified,1/07/2014,Fully Paid,debt_consolidation,14361.03,0
,66532218,5.32,< 1 year,Not Verified,1/10/2015,Current,home_improvement,719.21,0
,65469567,14.65,3 years,Source Verified,1/10/2015,Current,home_improvement,3621.89,0
,53422712,14.65,2 years,Source Verified,1/05/2015,Current,debt_consolidation,2285.01,0
