member_id,funded_amnt,interest_rate,emp_length,verification_status,issue_date,loan_status,purpose,total_pymnt,recoveries
53866184,9350,15.61,2 years,Not Verified,1/6/2015,Current,debt_consolidation,2280.4,0.0
65438162,20000,9.99,5 years,Not Verified,1/10/2015,Current,debt_consolidation,1318.95,0.0
682947,7000,14.35,10+ years,Verified,1/6/2010,Fully Paid,,8569.42,0.0
11057857,11500,16.99,10+ years,Verified,1/12/2013,Charged Off,credit_card,4014.72,0.0
60877262,5000,11.53,10+ years,Source Verified,1/8/2015,Current,medical,818.39,0.0
51854040,21000,6.92,10+ years,Source Verified,1/5/2015,Current,credit_card,5173.21,0.0
20126530,13025,14.49,10+ years,Not Verified,1/6/2014,Charged Off,home_improvement,5379.24,0.0
1231714,14000,10.65,1 year,Not Verified,1/11/2011,Current,other,15037.5,0.0
2631218,33000,13.11,10+ years,Verified,1/12/2012,Current,debt_consolidation,27848.12,0.0
9937490,6000,17.1,7 years,Not Verified,1/10/2013,Current,,5569.32,0.0
9039761,35000,21.7,3 years,Verified,1/10/2013,Fully Paid,major_purchase,37495.55,0.0
63047152,13000,5.32,10+ years,Source Verified,1/8/2015,Current,,1562.16,0.0
71346458,12000,21.99,10+ years,Verified,1/12/2015,Current,,316.7,0.0
72808243,5000,11.22,,Verified,1/12/2015,Current,debt_consolidation,0.0,0.0
1376569,6200,13.49,< 1 year,Source Verified,1/2/2012,Fully Paid,,7367.06,0.0
7776999,7200,18.25,1 year,Not Verified,1/7/2013,Current,debt_consolidation,7834.55,0.0
37177281,19200,11.44,10+ years,Not Verified,1/11/2014,Current,debt_consolidation,5879.11,0.0
25536162,8800,19.52,< 1 year,Source Verified,1/8/2014,Current,debt_consolidation,5198.4,0.0
70019829,32000,12.05,10+ years,Source Verified,1/11/2015,Current,debt_consolidation,2105.84,0.0
66302430,10000,10.99,10+ years,Not Verified,1/10/2015,Current,debt_consolidation,975.91,0.0
9266836,2800,12.99,10+ years,Source Verified,1/10/2013,Fully Paid,credit_card,3088.241988,0.0
1109919,13200,12.42,1 year,Source Verified,1/9/2011,Fully Paid,house,15861.37154,0.0
587816,16750,12.53,4 years,Verified,1/12/2009,Fully Paid,debt_consolidation,19353.02,0.0
1195142,17825,6.62,10+ years,Verified,1/10/2011,Fully Paid,vacation,19697.57478,0.0
2420372,10000,14.09,4 years,Verified,1/11/2012,Fully Paid,debt_consolidation,12349.78,0.0
7829892,20000,24.5,10+ years,Source Verified,1/7/2013,Current,,16854.22,0.0
51713059,24000,6.68,6 years,Verified,1/5/2015,Current,,5882.59,0.0
23332251,24000,10.99,3 years,Source Verified,1/7/2014,Fully Paid,debt_consolidation,25718.95,0.0
42364010,11000,11.99,9 years,Source Verified,1/1/2015,Current,debt_consolidation,4011.08,0.0
1880528,10000,12.12,2 years,Not Verified,1/10/2012,Fully Paid,debt_consolidation,11875.47509,0.0
51291080,20800,6.68,10+ years,Source Verified,1/5/2015,Current,credit_card,5098.24,0.0
7009245,2000,23.63,6 years,Source Verified,1/6/2013,Current,vacation,2419.68,0.0
48393960,$13500,16.55,4 years,Source Verified,1/4/2015,Current,debt_consolidation,3813.99,0.0
37476202,14400,12.99,3 years,Source Verified,1/11/2014,Current,debt_consolidation,4248.15,0.0
10799506,3000,15.1,10+ years,Source Verified,1/11/2013,Fully Paid,vacation,3240.99,0.0
8133698,24575,12.35,5 years,Verified,1/8/2013,Fully Paid,debt_consolidation,29479.15912,0.0
1908889,24000,8.9,,Verified,1/11/2012,Fully Paid,debt_consolidation,27432.52001,0.0
64322432,35000,10.99,9 years,Source Verified,1/9/2015,Current,credit_card,3021.91,0.0
11939625,6000,13.53,2 years,Verified,1/12/2013,Current,debt_consolidation,4887.85,0.0
64172012,19200,12.29,8 years,Verified,1/9/2015,Current,credit_card,2548.41,0.0
71221127,5600,10.64,10+ years,Verified,1/12/2015,Current,debt_consolidation,179.08,0.0
4721879,5800,6.62,7 years,Not Verified,1/3/2013,Fully Paid,,6362.5,0.0
11980046,20000,15.61,10+ years,Source Verified,1/12/2013,Current,credit_card,11572.87,0.0
30195333,8500,7.69,6 years,Not Verified,1/9/2014,Current,,3977.25,0.0
1633448,7800,7.9%,< 1 year,Verified,1/7/2012,Fully Paid,credit_card,8494.4,0.0
57698159,10000,13.99,10+ years,Source Verified,1/7/2015,Current,debt_consolidation,2034.84,0.0
10747885,11000,11.99,< 1 year,Source Verified,1/11/2013,Fully Paid,,12949.15,0.0
25385719,20000,14.99,10+ years,Source Verified,1/7/2014,Late (31-120 days),debt_consolidation,6659.8,0.0
61556234,20000,14.65%,,Verified,1/8/2015,Current,debt_consolidation,2344.42,0.0
37116557,10000,8.67,2 years,Not Verified,1/11/2014,Current,debt_consolidation,4425.76,0.0
64372087,4700,16.99,< 1 year,Source Verified,1/9/2015,Current,debt_consolidation,661.33,0.0
53324826,11000,16.99,< 1 year,Source Verified,1/6/2015,Current,debt_consolidation,1902.86,0.0
47143681,16000,7.89,10+ years,Not Verified,1/4/2015,Fully Paid,debt_consolidation,16887.3,0.0
7860323,20000,12.35,10+ years,Verified,1/7/2013,Fully Paid,home_improvement,23006.49699,0.0
66504669,25000,7.89,< 1 year,Source Verified,1/10/2015,Current,other,2335.49,0.0
4368065,9075,10.16,10+ years,Source Verified,1/3/2013,Current,credit_card,9978.57,0.0
8541921,7000,12.49,10+ years,Verified,1/2/2014,Fully Paid,debt_consolidation,7534.869558,0.0
13178391,15000,14.98,10+ years,Source Verified,1/1/2014,Fully Paid,debt_consolidation,18376.45,0.0
54525596,7050,22.99,2 years,Source Verified,1/6/2015,Current,debt_consolidation,1628.22,0.0
865237,7500,9.63,6 years,Not Verified,1/2/2011,Fully Paid,debt_consolidation,8662.907223,0.0
39232939,14000,12.99,7 years,Source Verified,1/12/2014,Fully Paid,debt_consolidation,15031.47,0.0
1073374,8000,13.49,4 years,Source Verified,1/8/2011,Fully Paid,debt_consolidation,8801.95,0.0
1623755,8000,13.99,< 1 year,Source Verified,1/7/2012,Fully Paid,debt_consolidation,9524.768159,0.0
8938501,35000,19.2,< 1 year,Verified,1/9/2013,Charged Off,small_business,12191.98,4408.59
61018329,$20000,16.99,2 years,Not Verified,1/8/2015,Late (31-120 days),debt_consolidation,975.02,0.0
64717498,35000,13.99,9 years,Source Verified,1/9/2015,Current,debt_consolidation,4729.79,0.0
20137249,32000,12.49,10+ years,Verified,1/6/2014,Current,debt_consolidation,13675.82,0.0
846596,9800,11.11,4 years,Not Verified,1/2/2011,Fully Paid,small_business,11559.89,0.0
1378841,12000,12.69,4 years,Source Verified,1/2/2012,Fully Paid,debt_consolidation,14423.53456,0.0
67811484,11000,13.33,2 years,Source Verified,1/10/2015,Current,debt_consolidation,496.15,0.0
8071941,18000,7.62,10+ years,Not Verified,1/8/2013,Current,credit_card,16277.46,0.0
8297474,30000,19.52,10+ years,Source Verified,1/10/2013,Fully Paid,small_business,38787.17999,0.0
15180307,5000,15.31,6 years,Source Verified,1/3/2014,Current,credit_card,3655.89,0.0
54705837,7175,10.99,1 year,Verified,1/6/2015,Current,debt_consolidation,1404.84,0.0
49241948,20000,7.89,5 years,Source Verified,1/4/2015,Fully Paid,credit_card,21034.96,0.0
49225000,17125,19.52,3 years,Source Verified,1/5/2015,Current,debt_consolidation,3686.05,0.0
31267399,15725,17.57,,Verified,1/10/2014,Current,credit_card,7880.98,0.0
72129872,31225,17.57,10+ years,Source Verified,1/12/2015,Current,debt_consolidation,0.0,0.0
66323978,12000,7.89,2 years,Source Verified,1/10/2015,Current,,745.6,0.0
14838491,10750,14.64,10+ years,Source Verified,1/3/2014,,other,11325.48529,0.0
38870446,10000,11.44%,< 1 year,Source Verified,1/11/2014,Current,credit_card,2842.48,0.0
65567946,25000,9.99,,Verified,1/10/2015,Current,credit_card,2405.83,0.0
69654632,18000,13.67,< 1 year,Verified,1/11/2015,Current,debt_consolidation,1197.3,0.0
15959918,11175,16.59,10+ years,Source Verified,1/4/2014,Current,debt_consolidation,8319.15,0.0
69833993,25000,17.86,< 1 year,Source Verified,1/11/2015,Current,debt_consolidation,595.73,0.0
67516722,8000,9.99,8 years,Source Verified,1/10/2015,Current,home_improvement,511.76,0.0
64953257,7625,17.86,,Source Verified,1/10/2015,Current,debt_consolidation,821.6,0.0
60930101,9600,6.24,< 1 year,Not Verified,1/8/2015,Current,debt_consolidation,1169.07,0.0
1781719,21450,12.12,2 years,Verified,1/9/2012,Fully Paid,credit_card,25691.51821,0.0
72090678,19100,13.18,9 years,Not Verified,1/12/2015,Current,credit_card,408.38,0.0
66454317,10000,11.53,5 years,Source Verified,1/10/2015,Current,credit_card,647.01,0.0
9432777,10000,16.2,6 years,Not Verified,1/10/2013,Fully Paid,major_purchase,11316.63569,0.0
18575100,18000,14.49,10+ years,Not Verified,1/5/2014,Charged Off,credit_card,4657.62,0.0
51380303,23175,14.65,5 years,Verified,1/5/2015,Current,credit_card,4382.82,0.0
14980105,12000,7.9,10+ years,Source Verified,1/3/2014,Current,credit_card,7885.29,0.0
57619053,10000,5.32,10+ years,Not Verified,1/7/2015,Current,credit_card,1800.99,0.0
51803122,7500,11.53,10+ years,Not Verified,1/5/2015,Current,debt_consolidation,1969.83,0.0
40554984,12000,17.86,4 years,Source Verified,1/12/2014,Fully Paid,debt_consolidation,12523.86,0.0
18194162,"28,000",18.99,10+ years,Verified,1/5/2014,Current,debt_consolidation,14523.8,0.0
40996232,7850,16.49,10+ years,Source Verified,1/1/2015,Current,,3320.3,0.0
19947219,9600,12.99,2 years,Verified,1/6/2014,Fully Paid,debt_consolidation,10095.58052,0.0
24577641,$25350,18.24,10+ years,Source Verified,1/8/2014,Current,other,10999.68,0.0
33299573,12000,13.98,10+ years,Not Verified,1/10/2014,Current,debt_consolidation,3888.76,0.0
54945827,12800,18.25,2 years,Source Verified,1/7/2015,Current,debt_consolidation,1947.7,0.0
43328298,"18,000",9.99,4 years,Source Verified,1/2/2015,Current,debt_consolidation,4180.98,0.0
1570062,35000,15.81,10+ years,Source Verified,1/6/2012,Fully Paid,house,48587.28885,0.0
47297463,10000,12.29,2 years,Not Verified,1/4/2015,Current,home_improvement,2988.11,0.0
15650093,1800,19.47,7 years,Not Verified,1/4/2014,Current,home_improvement,1394.61,0.0
16400506,32225,12.49,10+ years,Verified,1/4/2014,Current,credit_card,22635.69,0.0
34972996,10000,11.67,< 1 year,Source Verified,1/10/2014,Current,debt_consolidation,4621.5,0.0
41269662,20000,10.49%,4 years,Source Verified,1/1/2015,,debt_consolidation,7787.86,0.0
60174759,"12,000",7.89,2 years,Source Verified,1/7/2015,Current,credit_card,1871.89,0.0
18304283,6225,16.29%,6 years,Not Verified,1/5/2014,Charged Off,,1318.5,0.0
57145299,24000,12.69,10+ years,Verified,1/7/2015,Current,debt_consolidation,3236.76,0.0
70799991,12000,6.89,10+ years,Verified,1/12/2015,Current,,388.3,0.0
20747930,13775,18.24,8 years,Verified,1/6/2014,Current,debt_consolidation,6680.4,0.0
57728517,$25000,5.32,10+ years,Source Verified,1/7/2015,Current,credit_card,4502.44,0.0
45088287,9600,6.92,6 years,Not Verified,1/3/2015,Current,credit_card,2992.38,0.0
42573075,24175,8.19,10+ years,Verified,1/1/2015,Current,debt_consolidation,5405.29,0.0
34923494,"5,000",14.49,10+ years,Source Verified,1/10/2014,Current,debt_consolidation,2401.21,0.0
67697198,20000,7.89,6 years,Verified,1/10/2015,Current,credit_card,1837.71,0.0
54425725,20000,8.18,4 years,Source Verified,1/6/2015,Current,debt_consolidation,4389.64,0.0
30705086,28000,20.2,5 years,Verified,1/10/2014,Fully Paid,debt_consolidation,30757.35,0.0
62492952,1000,12.69,10+ years,Source Verified,1/8/2015,Fully Paid,other,1017.78,0.0
31607722,35000,13.98,10+ years,Verified,1/10/2014,Current,credit_card,12210.45,0.0
5328307,12000,10.16,4 years,Not Verified,1/5/2013,Fully Paid,credit_card,13877.96,0.0
46202002,20000,6.39,10+ years,Source Verified,1/3/2015,Current,debt_consolidation,6112.7,0.0
57965600,20000,12.69,7 years,Source Verified,1/7/2015,Fully Paid,debt_consolidation,20788.76,0.0
27720373,$22000,10.99,10+ years,Source Verified,1/9/2014,Fully Paid,debt_consolidation,23727.67952,0.0
10037847,28100,23.1,10+ years,Verified,1/10/2013,Fully Paid,debt_consolidation,36920.60803,0.0
36034810,20000,14.99,10+ years,Verified,1/11/2014,Current,debt_consolidation,6643.14,0.0
2118269,$5125,14.33,1 year,Not Verified,1/11/2012,Fully Paid,vacation,6336.149882,0.0
60849122,15000,12.29,10+ years,Not Verified,1/8/2015,Current,home_improvement,2491.26,0.0
72227653,12350,13.18,5 years,Verified,1/12/2015,Current,debt_consolidation,0.0,0.0
24474421,32000,10.99,10+ years,Verified,1/7/2014,Current,debt_consolidation,11825.2,0.0
16711092,13000,13.98,6 years,Source Verified,1/6/2014,,credit_card,5442.48,0.0
6341015,10000,12.12,8 years,Not Verified,1/5/2013,Fully Paid,debt_consolidation,11844.64963,0.0
7686735,7200,18.85,10+ years,Verified,1/7/2013,Current,debt_consolidation,7912.83,0.0
42702479,20000,8.19,10+ years,Source Verified,1/2/2015,Current,home_improvement,4471.75,0.0
21328957,35000,18.99,6 years,Verified,1/6/2014,Fully Paid,debt_consolidation,40753.09,0.0
63048605,10000,13.33,3 years,Verified,1/9/2015,Current,credit_card,1346.75,0.0
14269349,7000,14.16,< 1 year,Source Verified,1/2/2014,Current,debt_consolidation,5275.38,0.0
1367097,9600,15.96,< 1 year,Source Verified,1/2/2012,Fully Paid,debt_consolidation,12145.88052,0.0
23002129,14000,6.49,10+ years,Verified,1/7/2014,Current,debt_consolidation,7722.54,0.0
41482342,7300,6.49,10+ years,Not Verified,1/1/2015,Current,credit_card,2677.94,0.0
13627558,27575,22.9,3 years,Verified,1/2/2014,Current,debt_consolidation,17066.94,0.0
6477761,20000,7.9,< 1 year,Verified,1/5/2013,Fully Paid,debt_consolidation,22256.17081,0.0
32798286,9600,11.67,4 years,Not Verified,1/10/2014,Current,debt_consolidation,4744.69,0.0
45381277,8225,20.49,10+ years,Not Verified,1/3/2015,Late (16-30 days),debt_consolidation,2760.21,0.0
7642122,24000,15.88,9 years,Verified,1/7/2013,Current,debt_consolidation,17463.3,0.0
70689378,20000,10.64,7 years,Source Verified,1/12/2015,Current,credit_card,722.3,0.0
70742176,5925,13.18,1 year,Not Verified,1/12/2015,Current,debt_consolidation,195.82,0.0
46827207,10975,18.25,,Verified,1/4/2015,Current,debt_consolidation,2499.46,0.0
43295978,12000,14.31,8 years,Verified,1/2/2015,Current,debt_consolidation,3073.68,0.0
37157233,7000,9.49,4 years,Not Verified,1/11/2014,Fully Paid,car,7192.45,0.0
1868907,6300,11.14,10+ years,Source Verified,1/10/2012,Fully Paid,credit_card,7440.022786,0.0
19585381,8575,13.98,,Verified,1/5/2014,Fully Paid,home_improvement,9892.24,0.0
28400653,12000,8.39,2 years,Source Verified,1/8/2014,Current,debt_consolidation,6051.2,0.0
1360614,$6000,11.71,< 1 year,Source Verified,1/2/2012,Fully Paid,credit_card,6727.39,0.0
6407272,6000,13.05,8 years,Not Verified,1/9/2013,Fully Paid,debt_consolidation,7020.51699,0.0
37737277,6000,6.49,8 years,Source Verified,1/11/2014,Current,credit_card,2569.85,0.0
1290787,7000,14.27,2 years,Not Verified,1/12/2011,Fully Paid,small_business,7485.82,0.0
35052114,30000,7.69,2 years,Verified,1/10/2014,Current,debt_consolidation,13075.71,0.0
51431786,12000,13.33,3 years,Source Verified,1/6/2015,Current,home_improvement,1973.68,0.0
46526315,20400,14.65,10+ years,Source Verified,1/3/2015,Current,debt_consolidation,4301.01,0.0
17361664,17600,18.25%,4 years,Source Verified,1/4/2014,Charged Off,debt_consolidation,4733.39,2386.74
1099225,10000,9.91,10+ years,Verified,1/9/2011,Fully Paid,debt_consolidation,11331.94,0.0
62119693,12000,7.89,,Not Verified,1/8/2015,Current,small_business,1871.89,0.0
64665911,10000,6.89,8 years,Not Verified,1/9/2015,Current,credit_card,1229.25,0.0
41400487,5000,15.99,5 years,Verified,1/1/2015,In Grace Period,debt_consolidation,1929.03,0.0
49940081,17000,12.69,10+ years,Source Verified,1/4/2015,Current,debt_consolidation,3048.91,0.0
18174453,10200,17.57%,1 year,Not Verified,1/5/2014,Fully Paid,debt_consolidation,11814.83,0.0
49957883,14125,12.29,3 years,Not Verified,1/5/2015,Current,debt_consolidation,3273.73,0.0
14879044,11000,14.64,10+ years,Source Verified,1/3/2014,Current,debt_consolidation,8346.58,0.0
3957666,30000,13.11,10+ years,Verified,1/2/2013,Current,credit_card,35431.11,0.0
1685688,13000,12.12,7 years,Verified,1/8/2012,Fully Paid,credit_card,14871.18,0.0
58983189,28000,9.99,1 year,Source Verified,1/7/2015,Current,debt_consolidation,2942.82,0.0
69960578,8000,8.38,< 1 year,Source Verified,1/12/2015,Current,credit_card,244.65,0.0
62865978,10000,8.18,,Source Verified,1/8/2015,Current,credit_card,1247.71,0.0
58748961,6000,7.26,10+ years,Not Verified,1/7/2015,Current,debt_consolidation,1113.46,0.0
8448915,20000,12.35,4 years,Verified,1/8/2013,Charged Off,credit_card,4596.26,2596.7
57640816,10000,7.89,10+ years,Source Verified,1/7/2015,Current,debt_consolidation,1204.67,0.0
934019,35000,10.37,3 years,Verified,1/4/2011,Fully Paid,home_improvement,40873.88584,0.0
11668849,16000,7.9,10+ years,Source Verified,1/12/2013,Current,debt_consolidation,12013.5,0.0
43987707,29000,17.57,10+ years,Verified,1/2/2015,Fully Paid,debt_consolidation,32625.43,0.0
67760407,$16000,6.89,< 1 year,Source Verified,1/10/2015,Current,small_business,974.21,0.0
38691252,18000,9.49,10+ years,Not Verified,1/11/2014,Current,credit_card,4889.63,0.0
515626,8000,11.14,3 years,Source Verified,1/8/2009,Fully Paid,debt_consolidation,9448.05,0.0
14437609,11000,15.61,10+ years,Source Verified,1/3/2014,Fully Paid,debt_consolidation,12900.24,0.0
69574183,20000,7.89,10+ years,Verified,1/11/2015,Current,debt_consolidation,1233.91,0.0
42564367,18000,11.99,3 years,Verified,1/1/2015,Current,debt_consolidation,6563.59,0.0
69919449,20000,10.99,2 years,Source Verified,1/11/2015,Current,credit_card,1297.15,0.0
45360954,10000,20.49,< 1 year,Source Verified,1/3/2015,Current,debt_consolidation,2665.42,0.0
589075,5000,11.83,5 years,Not Verified,1/12/2009,Fully Paid,other,5958.86,0.0
64886034,10000,11.53,1 year,Source Verified,1/10/2015,Current,debt_consolidation,926.8,0.0
31296079,18000,10.15,4 years,Not Verified,1/10/2014,Current,credit_card,8790.79,0.0
14999286,12000,11.99,6 years,Source Verified,1/3/2014,,home_improvement,13446.18,0.0
445279,12000,9.63,3 years,Not Verified,1/5/2009,Charged Off,medical,8087.82,19.2
71371234,21000,5.32,,Not Verified,1/12/2015,Current,debt_consolidation,620.01,0.0
35803394,22800,10.15,2 years,Source Verified,1/10/2014,Current,debt_consolidation,10309.34,0.0
4062021,15000,15.8,10+ years,Source Verified,1/2/2013,Fully Paid,debt_consolidation,18497.8125,0.0
11982319,6000,11.99,4 years,Not Verified,1/1/2014,Current,credit_card,4782.21,0.0
14778979,10000,14.64,10+ years,Not Verified,1/4/2014,Charged Off,credit_card,2596.22,0.0
15839726,19000,17.57,4 years,Verified,1/4/2014,Current,debt_consolidation,10039.05,0.0
38579383,24125,15.59,3 years,Source Verified,1/11/2014,Fully Paid,debt_consolidation,27845.91,0.0
49779239,18075,13.33,7 years,Verified,1/4/2015,,debt_consolidation,4881.81,0.0
12497523,21625,25.83,3 years,Source Verified,1/1/2014,Current,,15485.42,0.0
70245318,9000,13.67,10+ years,Source Verified,1/11/2015,Current,debt_consolidation,292.49,0.0
17341877,2500,10.99,4 years,Not Verified,1/4/2014,Current,,1636.8,0.0
34210854,8400,7.69,4 years,Not Verified,1/10/2014,Fully Paid,debt_consolidation,8989.65,0.0
64874430,17000,15.61,2 years,Not Verified,1/10/2015,Current,debt_consolidation,1753.74,0.0
49894998,30000,12.69,10+ years,Source Verified,1/5/2015,Current,home_improvement,5380.5,0.0
1588367,$18550,13.11,10+ years,Verified,1/7/2012,Charged Off,debt_consolidation,8384.86,745.13
47406887,6000,13.33,,Verified,1/4/2015,Late (16-30 days),home_improvement,1620.52,0.0
43427881,9550,8.19,4 years,Not Verified,1/2/2015,Current,home_improvement,3292.52,0.0
30015459,2000,12.49,< 1 year,Not Verified,1/9/2014,Fully Paid,debt_consolidation,2219.97,0.0
8083464,11000,10.64,6 years,Source Verified,1/8/2013,Current,debt_consolidation,10389.54,0.0
62139983,20000,13.33,7 years,Not Verified,1/8/2015,Current,debt_consolidation,2693.47,0.0
29252725,8000,13.35,4 years,Not Verified,1/9/2014,Fully Paid,moving,8977.79,0.0
62424675,24975,16.99,5 years,Source Verified,1/9/2015,Current,home_improvement,2458.67,0.0
58834477,8000,9.99,6 years,Source Verified,1/7/2015,Current,debt_consolidation,1286.06,0.0
64596330,24000,6.24,4 years,Not Verified,1/9/2015,Current,credit_card,2922.64,0.0
45441075,28775,9.99,,Verified,1/3/2015,Current,debt_consolidation,9267.63,0.0
18484514,13000,13.98,10+ years,Verified,1/5/2014,Current,debt_consolidation,5744.84,0.0
32157531,6475,22.15,2 years,Source Verified,1/10/2014,Charged Off,,2230.11,0.0
15090057,9000,11.99,5 years,Source Verified,1/3/2014,Fully Paid,debt_consolidation,10436.11,0.0
7827190,17875,10.64,3 years,Not Verified,1/8/2013,Current,debt_consolidation,16879.33,0.0
36965328,7700,19.24,,Verified,1/11/2014,Current,other,3952.31,0.0
4861851,$18250,15.8,10+ years,Verified,1/3/2013,Charged Off,debt_consolidation,7092.51,2240.63
7648202,14200,10.64,10+ years,Verified,1/8/2013,Current,debt_consolidation,8869.06,0.0
55375854,21175,10.99,5 years,Source Verified,1/6/2015,Current,debt_consolidation,4187.07,0.0
31147950,"5,600",11.67,10+ years,Not Verified,1/10/2014,Fully Paid,other,6275.33,0.0
41288445,9850,17.86,10+ years,Source Verified,1/1/2015,Current,debt_consolidation,4255.15,0.0
797223,4200,9.62,3 years,Source Verified,1/11/2010,Fully Paid,debt_consolidation,4850.26,0.0
23834272,27575,18.99,10+ years,Verified,1/7/2014,Current,debt_consolidation,12157.72,0.0
7449988,6000,12.35,10+ years,Not Verified,1/7/2013,Charged Off,credit_card,1799.13,0.0
55446617,"24,000",18.55,10+ years,Source Verified,1/7/2015,Late (31-120 days),debt_consolidation,1825.48,0.0
64915358,7000,8.18,2 years,Verified,1/10/2015,Current,credit_card,653.46,0.0
37276838,"22,600",19.24,10+ years,Source Verified,1/11/2014,Current,debt_consolidation,8201.19,0.0
16730872,7675,18.25,2 years,Source Verified,1/4/2014,Current,credit_card,5568.8,0.0
67636056,4800,9.17,10+ years,Not Verified,1/10/2015,Current,credit_card,303.59,0.0
9376775,5000,11.99,10+ years,Not Verified,1/12/2013,Current,debt_consolidation,4151.19,0.0
44183671,32950,17.86,7 years,Verified,1/2/2015,Charged Off,,3501.34,0.0
11317346,7400,15.61,6 years,Source Verified,1/12/2013,Current,credit_card,6468.5,0.0
60294064,5000,13.33,10+ years,Source Verified,1/8/2015,,debt_consolidation,838.94,0.0
44727523,7000,6.92,10+ years,Source Verified,1/3/2015,Current,debt_consolidation,1949.95,0.0
15630170,9000,9.67,2 years,Not Verified,1/4/2014,Current,debt_consolidation,7499.42,0.0
10429599,12000,20.2,10+ years,Source Verified,1/11/2013,Current,debt_consolidation,8299.19,0.0
